Gallery Name,Gallery Address,Gallerist,Owner Name,Sales Price,Lot Size,Bldg Sq. Ft.,Land Value,Improvement Value,Total Assessed Value,Latitude,Longitude,Gallery Image,Status,Narrative
356 Mission / Ooga Booga,"356 S Mission Road, Los Angeles, CA 90033",Laura Owens / Gavin Brown / Wendy Yao,BOYLE HEIGHTS PROPERTIES LLC c/o KNITWORKS,1500000,12177,11973,1081841,582527,1664368,34.04298,-118.227011,365.png,SHUTDOWN,365
Maccarone,"300 S Mission Road, Los Angeles, CA 90033",Michele Maccarone,SADDLE RAG LLC c/o JAY MANGEL,3200000,32654,35349,1324686,2207812,3532498,34.044321,-118.226986,maccarone.png,ACTIVE,maccarone
Venus Over Los Angeles,"601 S Anderson Street, Los Angeles CA 90023",Adam Lindemann / 641-653 Imperial Street Holdings LLC,DUNLIN LLC c/o NCP MANAGEMENT CO,14100000,6895,6930,1346221,393510,1739731,34.03895,-118.224332,venusoverlosangeles.png,SHUTDOWN,venusoverla
Museum as Retail Space,"649 S Anderson Street, Los Angeles CA 90023",Robert Zin Stark,"STARK,LIS ZIN TRUST",700000,5503,4900,422497,316873,739370,34.037025,-118.223457,mars.png,SHUTDOWN,mars
Nicodim,"571 S Anderson Street #2, Los Angeles, CA 90033",Mihai Nicodim,571 SOUTH ANDERSON LLC c/o YI HSING CHANG,,10019,9600,207688,1392,209080,34.039865,-118.224695,nicodim.png,ACTIVE,nicodim
IBID Gallery,"670 S Anderson Street, Los Angeles, CA 90023",Magnus Edensvard,CHASE LEGACY LLC c/o MARGARET STOCKWELL,476000,12906,12912,82819,48851,131670,34.036029,-118.222954,ibid.png,RELOCATED,ibid
BBQ LA,"2315 Jesse Street, Los Angeles, CA 90023",Timo Fahler,"GLASS,EDDIE & SHIRLEY TR",,5140,4988,119423,137404,256827,34.036943,-118.222453,bbqla.png,ACTIVE,BBQLA
Corey Helford Gallery,"571 S Anderson Street #1, Los Angeles, CA 90033",Jan and Bruce Helford,571 SOUTH ANDERSON LLC c/o YI HSING CHANG,,10019,9600,207688,1392,209080,34.039865,-118.224695,coreyhelford.png,ACTIVE,
Chimento Contemporary,"622 S Anderson Street #105, Los Angeles, CA 90023",Eva Chimento,662 SOUTH ANDERSON LLC c/o SOHAIL ROCHEL,950000,14354,13561,636623,371362,1007985,34.038382,-118.223455,chimento.png,RELOCATED,chimento
Sage Projects,"300 S Anderson Street, Los Angeles, CA 90033",Shanoa Garcia,300 S ANDERSON LLC c/o SATENIK BAGRAMYAN,,55357,40271,2696349,966838,3663187,34.04474,-118.225499,sageprojects.png,RELOCATED,
Groundspace Project,"1427 E 4th Street #4, Los Angeles, CA 90033",Susan Joseph,MUTUAL INVESTMENTS LLC c/o EDWARD FRIEDMAN,,26368,34632,430397,1165399,1595796,34.042242,-118.226462,,SHUTDOWN,
The Journal Gallery,"347 S Clarence Street, Los Angeles, CA 90033",,"LORENZINI,CAROLE J TRUST",168000,4359,4292,112875,17354,130229,34.043701,-118.224115,,ACTIVE,
UTA Artist Space,"670 S Anderson Street, Los Angeles, CA 90023",,CHASE LEGACY LLC c/o MARGARET STOCKWELL,476000,12906,12912,82819,48851,131670,34.036029,-118.222954,UTAevictionotice.png,SHUTDOWN,uta
Cloud Noir / Patrick McCarthy Gallery,"2918 Whittier Boulevard, Los Angeles, CA 90023",,"MCCARTHY, PATRICK F",242000,6478,6302,216383,91642,308025,34.030707,-118.208343,,ACTIVE,
FachaPatoto Studio and Gallery,"2000 E 1st Street, Los Angeles, CA 90033",,LADERA LLC c/o NOWFAR MANSOUR,,8407,10680,360309,780676,1140985,34.045107,-118.214982,,SHUTDOWN,
The Wild Honey Studio,"2325 Jesse Street, Los Angeles, CA 90023",,"GLASS,EDDIE & SHIRLEY TR",,5140,4988,119423,137404,256827,34.036943,-118.222453,,ACTIVE,
Anechoic Audio Mastering,"2185 E 7th Street, Los Angeles, CA 90023",,SEVENTH STREET WAREHOUSE PARTNERSHIP c/o CRAIG COOPER - THE WONDERFUL COMPANY,3500035,12303,2610,320139,141821,461960,34.034893,-118.225421,,ACTIVE,
Parrasch Heijnen Gallery,"1326 S Boyle Avenue, Los Angeles, CA 90023",,WALLINGFORD INVESTORS c/o JERROLD S. FELSENTHAL,108500,6999,4040,131696,25313,157009,34.025528,-118.220608,parrasch-heijnen.jpg,ACTIVE,parrasch
Royal Rehearsal Space,"1946 E 1st Street, Los Angeles, CA 90023",,"BIRMAN,HECTOR",,7588,4487,275963,110389,386352,34.045625,-118.216121,,ACTIVE,
Little Big Man Gallery,"1427 E 4th Street #2, Los Angeles, CA 90033",Nick Haymes,MUTUAL INVESTMENTS LLC c/o EDWARD FRIEDMAN,,26368,34632,430397,1165399,1595796,34.042242,-118.226462,,ACTIVE,LittleBigManGallery
Self Help Graphics,"1300 E 1st Street, Los Angeles, CA 90033",Betty Avila/Alfred Fraijo Jr ,SELF-HELP GRAPHICS & ART INC ,3625000,5081,5200,94562,,94562,34.047338,-118.226184,SelfHelp_StupidPowerpoint.jpg,ACTIVE,selfhelpgraphics
PSSST,"1329 E 3rd St, Los Angeles, CA 90033",Barnett Cohen / Jules Gimbrone,THIRD STREET HOLDINGS LLC c/o FERN PEGUS,975000,5499,4716,605799,403865,1009664,34.045222,-118.225592,bye2pst_CredittoBHAAAD.jpg,SHUTDOWN,PSSST
