Gallery Name,Gallery Address,Gallerist,Owner Name,Sales Price,Lot Size,Bldg Sq. Ft.,Land Value,Improvement Value,Total Assessed Value,Latitude,Longitude,Narrative,Narrative02,Narrative03,Narrative04,Gallery Image
356 Mission / Ooga Booga,"356 S Mission Road, Los Angeles, CA 90033",Laura Owens / Gavin Brown / Wendy Yao,BOYLE HEIGHTS PROPERTIES LLC,1500000,12177,11973,1081841,582527,1664368,34.04298,-118.227011,"Laura Owens is a painter based in Los Angeles, represented by the New York-based blue-chip gallery Gavin Brown’s enterprise. In 2013 she turned her 12,000-square-foot studio in Boyle Heights into the gallery 356 Mission, bankrolled by Gavin Brown. Brown supports Laura Owens by renting 356 Mission from Vera Campbell, who is responsible for major artwashing developments across Los Angeles. // Laura Owens and multi-millionaire art dealer Gavin Brown leased 356 S. Mission Road in 2012 from clothing manufacturer and real estate mogul Vera Campbell and Boyle Heights Properties, LLC. (from 365 mission closing)","Many have called 365 a “pioneer” of artist-run spaces in Boyle Heights. Since Owens’ arrival, wealthy galleries from Maccarone to Venus over Manhattan have followed in her footsteps and have expanded their empires into the West Coast into our hood. Owens’s career has also benefited greatly due to her relationship with this space. In 2014 her drawings and paintings sold for between $15,000 and $175,000. Laura Owens and Gavin Brown have the financial means to be ANYWHERE in Los Angeles, in New York, and around the world. However, they choose to take advantage of low-income POC communities like Boyle Heights, Chinatown, and Harlem to build their own enterprises.","More than a year ago, Defend Boyle Heights and the Boyle Heights Alliance Against Artwashing and Displacement launched a boycott against all galleries in Boyle Heights and organized a series of public actions against the growing number of galleries in Boyle Heights, including 356 Mission. In July 2016, at the courtyard of Pico Aliso Public Housing, multiple generations of Boyle Heights residents spoke face to face to the staff of the galleries, including Ethan Swan, the manager of 356 Mission, asking them to leave. An official picket line was drawn in February 2017 during the offensive neoliberal Artist’s Political Action Network meeting, which was established by the Los Angeles art world élite.","On May 24, 2017, a smaller delegation met with 356 Mission and made a plan to meet 2 weeks later to discuss how and when 356 Mission would leave Boyle Heights. Laura Owens postponed the scheduled follow-up meeting due to a family emergency. The community waited patiently for her to return with her promise. We never heard from her. 356 Mission continues to ignore the community’s demand to leave and continues their programming. Despite this, the community has also succeeded in shutting down multiple programs at the gallery, from Ruth Root’s exhibition opening to Chris Kraus’s book launch. In April 2018 gallery left.",365.png
Maccarone,"300 S Mission Road, Los Angeles, CA 90033",Michele Maccarone,SADDLE RAG LLC,3200000,32654,35349,1324686,2207812,3532498,34.044321,-118.226986,,,,,
Venus Over Los Angeles,"601 S Anderson Street, Los Angeles CA 90023",Adam Lindemann / 641-653 Imperial Street Holdings LLC,DUNLIN LLC,14100000,6895,6930,1346221,393510,1739731,34.03895,-118.224332,,,,,
Museum as Retail Space,"649 S Anderson Street, Los Angeles CA 90023",Robert Zin Stark,"STARK,LIS ZIN TRUST",700000,5503,4900,422497,316873,739370,34.037025,-118.223457,,,,,
Nicodim,"571 S Anderson Street #2, Los Angeles, CA 90033",Mihai Nicodim,571 SOUTH ANDERSON LLC,,10019,9600,207688,1392,209080,34.039865,-118.224695,,,,,
IBID Gallery,"670 S Anderson Street, Los Angeles, CA 90023",,"STOCKWELL,MARGARET C TRUST ETAL",476000,12906,12912,82819,48851,131670,34.036029,-118.222954,,,,,
BBQ LA,"2315 Jesse Street, Los Angeles, CA 90023",Timo Fahler,"GLASS,EDDIE & SHIRLEY TR",,5140,4988,119423,137404,256827,34.036943,-118.222453,,,,,
Corey Helford Gallery,"571 S Anderson Street #1, Los Angeles, CA 90033",,571 SOUTH ANDERSON LLC,,10019,9600,207688,1392,209080,34.039865,-118.224695,,,,,
Chimento Contemporary,"622 S Anderson Street #105, Los Angeles, CA 90023",,662 SOUTH ANDERSON LLC,950000,14354,13561,636623,371362,1007985,34.038382,-118.223455,,,,,
Sage Projects,"300 S Anderson Street, Los Angeles, CA 90033",,300 S ANDERSON LLC,,55357,40271,2696349,966838,3663187,34.04474,-118.225499,,,,,
